experiment,id,block,seedlot,tag,ht.12.prev,ht.11.prev,d.12.prev,sc.prev,hc.prev,tc.prev,vc.prev,vh.prev,needle.length,unmeasurable.prob.prev,inaccessible.prob.prev,browsed.prob.prev,forked.prob.prev,missing.prob.prev,dead.prob.prev,underobj.prob.prev,broken.prob.prev,dieback.prob.prev,uncertain.prob.prev,shrub.choke.prob.prev,yellow.prob.prev,bud burst.prob.prev,misc.prob.prev,comment.prev,ht.15,ht.14,ht.13,ht.12,d.15,sc,hc,vh,unmeasureable.prob.curr,inaccessible.prob.curr,browsed.prob.curr,forked.prob.curr,missing.prob.curr,dead.prob.curr,under.prob.curr,broken.prob.curr,dieback.prob.curr,uncertain.prob.curr,shrub.choke.prob.curr,yellow.prob.curr,budburst.prob.curr,mech.damage.prob.curr,frost.damage.prob.curr,supp.prob.curr,red.r.prob.curr,misc.serious.prob.curr,misc.prob.curr
ANF,"1,1",2,A,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"2,1",2,A,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"3,1",2,A,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"4,1",2,A,Y,173,160,523,0,E,0,,8,12,,,,,,,,,,,,,,,,29.5,24,22.5,20.5,9.2,A,G,30,,,,,,,,,,,,,,,,,,,
ANF,"5,1",2,A,Y,190,190,543,0,E,0,,10,,,,X,,,,,,,,,,,,brwsd., ,,,,,,,,,,,,X,,,,,,,,,,,,,,
ANF,"6,1",2,A,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"7,1",2,A,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"1,2",2,A,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"2,2",2,A,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"3,2",2,A,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"4,2",2,A,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"5,2",2,A,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"6,2",2,A,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"7,2",2,A,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"1,3",2,A,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"2,3",2,A,Y,236,222,560,0,F,0,,45,,,,X,,,,,,,,,,,,brwsd.,11,,,,5.4,D,E,40,,,,,,X,,,,,,,,,,,,,
ANF,"3,3",2,A,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"4,3",2,A,Y,182,143,584,0,E,0,,10,14.5,,,X,,,,,,,,,,,,brwsd.,38.5,27.5,23,,3.1,A,G,30,,,,,,,,,,,,,,,,,,,
ANF,"5,3",2,A,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"6,3",2,A,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"7,3",2,A,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"1,4",2,A,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"2,4",2,A,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"3,4",2,A,Y,200,120,611,0,E,0,,12,12,,,,X,,,,,,,,,,,fkd.,25,21,,,11.2,A,F,20,,,X,,,,,,,,,,,,,,,,
ANF,"4,4",2,A,Y,240,187,687,0,D,0,,22,8.5,,,,,,,,,,,,,,,,34.5,30,23,,12.2,A,G,25,,,,,,,,,,,,,,,,,,,
ANF,"5,4",2,A,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"6,4",2,A,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"7,4",2,A,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"1,5",2,A,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"2,5",2,A,Y,141,124,475,0,E,0,,7,12,,,,,,,,,,,,,,,,17.5,,,,8.5,A,G,20,,,X,,,,,,,,,,,,,,,,
ANF,"3,5",2,A,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"4,5",2,A,Y,174,167,494,0,F,0,,12,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,X,,,,,,,,,,,,,,
ANF,"5,5",2,A,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"6,5",2,A,Y,209,168,492,0,F,0,,3,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,X,,,,,,,,,,,,,,
ANF,"7,5",2,A,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"1,6",2,A,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"2,6",2,A,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"3,6",2,A,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"4,6",2,A,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"5,6",2,A,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"6,6",2,A,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"7,6",2,A,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"1,7",2,A,Y,165,126,563,0,G,0,,20,13,,,,,,,,,,X,,,,,unctn.,23.5,20.5,19,17.5,10.7,B,H,20,,,,,,,,,,,,,,,,,,,
ANF,"2,7",2,A,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"3,7",2,A,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"4,7",2,A,Y,263,220,536,0,E,0,,6,15,,,,,,,,,,,,,,,,59,45.5,32,25,16.2,A,E,30,,,X,,,,,,,,,,,,,,,,
ANF,"5,7",2,A,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"6,7",2,A,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"7,7",2,A,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"1,1",2,B,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"2,1",2,B,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"3,1",2,B,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"4,1",2,B,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"5,1",2,B,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"6,1",2,B,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"7,1",2,B,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"1,2",2,B,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"2,2",2,B,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"3,2",2,B,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"4,2",2,B,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"5,2",2,B,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"6,2",2,B,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"7,2",2,B,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"1,3",2,B,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"2,3",2,B,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"3,3",2,B,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"4,3",2,B,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"5,3",2,B,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"6,3",2,B,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"7,3",2,B,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"1,4",2,B,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"2,4",2,B,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"3,4",2,B,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"4,4",2,B,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"5,4",2,B,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"6,4",2,B,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"7,4",2,B,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"1,5",2,B,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"2,5",2,B,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"3,5",2,B,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"4,5",2,B,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"5,5",2,B,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"6,5",2,B,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"7,5",2,B,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"1,6",2,B,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"2,6",2,B,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"3,6",2,B,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"4,6",2,B,Y,270,260,489,0,D,0,,20,10,,,,,,,,,,,,,,,,26.5,24,,,6.9,E,E,40,,,,,,,,,,,,,,,,,,,
ANF,"5,6",2,B,Y,287,231,472,0,E,B,,12,16,,,,,,,,,,,,,,,,44,35,31.5,29,9.7,B,F,30,,,,,,,,,,,,,,,,,,,
ANF,"6,6",2,B,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"7,6",2,B,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"1,7",2,B,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"2,7",2,B,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"3,7",2,B,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"4,7",2,B,Y,261,226,488,0,E,A,,8,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,X,,,,,,,,,,,,,,
ANF,"5,7",2,B,Y,210,210,426,0,D,D,,65,,,,X,,,,,,X,,,,,,brwsd.diebk., ,,,,,,,,,,,,X,,,,,,,,,,,,,,
ANF,"6,7",2,B,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"7,7",2,B,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"1,1",2,C,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ANF,"2,1",2,C,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
