id,block,plot,ht,diam,shrub,browsed_forked_15,year,species,source_elev,seedlot_id
1,A,N,148.5,56.9,0.5,FALSE,2015,JP,7500,6625
2,A,N,106,39.5,0.5,FALSE,2015,JP,7500,6625
3,A,N,115,45.2,0.5,FALSE,2015,JP,7500,6625
4,A,N,60.5,18.5,62.5,FALSE,2015,JP,7500,6625
5,A,N,78.5,27,37.5,FALSE,2015,JP,7500,6625
6,A,N,112,41.8,0.5,FALSE,2015,JP,7500,6625
8,A,N,101,37.4,0.5,FALSE,2015,JP,7500,6625
9,A,N,74,27.2,0.5,FALSE,2015,JP,7500,6625
10,A,N,99,37,17.5,FALSE,2015,JP,7500,6625
12,A,N,71,28.1,37.5,FALSE,2015,JP,7500,6625
13,A,N,74,27.3,17.5,FALSE,2015,JP,7500,6625
14,A,N,56.5,26,17.5,FALSE,2015,JP,7500,6625
15,A,N,73.5,28.7,0.5,FALSE,2015,JP,7500,6625
16,A,N,93,38.2,3,FALSE,2015,JP,7500,6625
17,A,N,84,23.8,37.5,FALSE,2015,JP,7500,6625
18,A,N,62.5,20.1,62.5,FALSE,2015,JP,7500,6625
19,A,N,48.5,15.3,37.5,FALSE,2015,JP,7500,6625
20,A,N,114,48.3,0.5,FALSE,2015,JP,7500,6625
21,A,N,66,30,0.5,FALSE,2015,JP,7500,6625
22,A,N,42,14.1,37.5,FALSE,2015,JP,7500,6625
23,A,N,51.5,21,0.5,FALSE,2015,JP,7500,6625
24,A,N,88,38.2,0.5,FALSE,2015,JP,7500,6625
25,A,N,74,19,62.5,FALSE,2015,JP,7500,6625
27,A,N,33,14.2,37.5,FALSE,2015,JP,7500,6625
28,A,N,108.5,46,0.5,FALSE,2015,JP,7500,6625
30,A,N,44.5,13.8,62.5,FALSE,2015,JP,7500,6625
31,A,N,90,15.1,82.5,FALSE,2015,JP,7500,6625
32,A,N,67.5,20.5,62.5,FALSE,2015,JP,7500,6625
33,A,N,50,14,62.5,FALSE,2015,JP,7500,6625
34,A,N,62.5,24.5,17.5,FALSE,2015,JP,7500,6625
36,A,N,33,6.7,82.5,FALSE,2015,JP,7500,6625
37,A,N,40,13.3,37.5,FALSE,2015,JP,7500,6625
38,A,N,46.5,14.5,82.5,FALSE,2015,JP,7500,6625
40,A,N,98.5,36.2,17.5,FALSE,2015,JP,7500,6625
41,A,N,119.5,42.3,0.5,FALSE,2015,JP,7500,6625
42,A,N,88,35.6,0.5,FALSE,2015,JP,7500,6625
43,A,N,30,7.4,62.5,FALSE,2015,JP,7500,6625
44,A,N,17.5,6.4,82.5,FALSE,2015,JP,7500,6625
45,A,N,62,13.3,92.5,FALSE,2015,JP,7500,6625
